Restaurant_Name,LocalityCity
Highwayz,"Wakad, Pune, India"
Indore Express,"Wakad, Pune, India"
Vadheev Misal,"Aundh, Pune, India"
Beyond Coffee,"Wakad, Pune, India"
Manglore Express,"Hinjawadi, Pune, India"
Relax Pure Veg,"Wakad, Pune, India"
SMBTC,"Hinjawadi, Pune, India"
Chinese Hub,"Wakad, Pune, India"
Moody Foody,"Wakad, Pune, India"
Kanaka Durga,"Wakad, Pune, India"
Mataji Bhojanalay,"Wakad, Pune, India"
99 Dishes,"Wakad, Pune, India"
Chakna Express Dubai Shwarma,"Wakad, Pune, India"
NightExpress.in,"Wakad, Pune, India"
Classic Food Court,"Balewadi, Pune, India"
Al Zaika Biryani House,"Baner, Pune, India"
Naan Factory,"Balewadi, Pune, India"
Tibbs Frankie,"Aundh, Pune, India"
Churros Cafe,"Baner, Pune, India"
Poonam Hotel,"Wakad, Pune, India"
Whistle Podu,"Hinjawadi, Pune, India"
Hotel Malhar Mutton Bhakari,"Hinjawadi, Pune, India"
The Veg Express,"Wakad, Pune, India"
Twenty Nine All Day Dining,"Wakad, Pune, India"
Swaadey Aalladey,"Hinjawadi, Pune, India"
Big M's,"Aundh, Pune, India"
Swayampak Poli Bhaji Center,"Wakad, Pune, India"
Celebration Point,"Hinjawadi, Pune, India"
Mad Eats,"Wakad, Pune, India"
Jojo's Kitchen,"Balewadi, Pune, India"
Mezban,"Wakad, Pune, India"
Waah Indore,"Wakad, Pune, India"
Aromas Biryani House,"Baner, Pune, India"
Jalaram Khaman,"Hinjawadi, Pune, India"
New India Catereres,"Aundh, Pune, India"
Poorva's Food Mall,"Aundh, Pune, India"
Red Chilli Kitchen,"Hinjawadi, Pune, India"
Paratha Pandit,"Hinjawadi, Pune, India"
The Dum Biryani,"Baner, Pune, India"
MH 14 Chinese And Indian Dish,"Aundh, Pune, India"
Bollywood Burger,"Wakad, Pune, India"
Hotel Tallaf,"Hinjawadi, Pune, India"
Kebab King,"Hinjawadi, Pune, India"
Cafe 76,"Wakad, Pune, India"
Gusto,"Hinjawadi, Pune, India"
Manthan Happy Pure Veg,"Wakad, Pune, India"
Sudama Bhel,"Wakad, Pune, India"
O Balle,"Wakad, Pune, India"
Old City Biryani House,"Hinjawadi, Pune, India"
DRNK Lab,"Baner, Pune, India"
Marmalade,"Aundh, Pune, India"
New Delite Oven Fresh,"Pashan, Pune, India"
Blue Box Biryani,"Balewadi, Pune, India"
The Chicken Company,"Wakad, Pune, India"
Kake Da Hotel,"Baner, Pune, India"
Arms Diet Cafe,"Wakad, Pune, India"
Royal Meals,"Wakad, Pune, India"
Saat Anaaj,"Wakad, Pune, India"
Sandwich Club,"Wakad, Pune, India"
Rolls Raees,"Wakad, Pune, India"
China Magic,"Balewadi, Pune, India"
Burger Blast,"Wakad, Pune, India"
Chinese Food Empire,"Wakad, Pune, India"
Cafe Cream,"Balewadi, Pune, India"
Zaffraan Indian Kitchen,"Aundh, Pune, India"
Adicci,"Pashan, Pune, India"
Royal Hill Dairy,"Hinjawadi, Pune, India"
Cafe Creamy Nuts,"Balewadi, Pune, India"
Teera Farms,"Wakad, Pune, India"
Raider's Den,"Baner, Pune, India"
Dakkhani Biryani,"Aundh, Pune, India"
Restro The Pasta,"Wakad, Pune, India"
Cafe Yaari Dosti,"Aundh, Pune, India"
Superman's Cafe,"Wakad, Pune, India"
The Chinese Box,"Aundh, Pune, India"
Not Just Parathas,"Wakad, Pune, India"
Southentic,"Wakad, Pune, India"
Nil Food Point,"Hinjawadi, Pune, India"
