Restaurant_Name,LocalityCity
Celebrations The Cake Shop,"Wakad, Pune, India"
The Royal Veg,"Wakad, Pune, India"
Ajooba - Desi Khana,"Wakad, Pune, India"
Greens & Olives,"Aundh, Pune, India"
Bundelkhandi Swad,"Wakad, Pune, India"
Chilli Garlic,"Baner, Pune, India"
The Thali Wala,"Wakad, Pune, India"
Down South,"Wakad, Pune, India"
Kaleva- The Paratha House,"Wakad, Pune, India"
Bahubali's House of Paranthas,"Wakad, Pune, India"
Cake Trails,"Baner, Pune, India"
Around The World-Grand Tamanna Hotel,"Hinjawadi, Pune, India"
Good Food Roll House,"Wakad, Pune, India"
Farm-Ville Garden Restaurant,"Sus, Pune, India"
Khushbu Wadapav And Samosa Point,"Hinjawadi, Pune, India"
The Grill N Rolls,"Aundh, Pune, India"
Falak On The Roof,"Wakad, Pune, India"
4 Seasons,"Hinjawadi, Pune, India"
The Meal House,"Aundh, Pune, India"
Food Please,"Hinjawadi, Pune, India"
The Big Chill Bar Underground,"Hinjawadi, Pune, India"
Hotel Royal Indians,"Hinjawadi, Pune, India"
Euphooria Restaurant,"Hinjawadi, Pune, India"
Monk's & Blue's,"Baner, Pune, India"
North O South,"Hinjawadi, Pune, India"
Dilli Di Hatti,"Hinjawadi, Pune, India"
Mafco Chinese Center,"Hinjawadi, Pune, India"
Hotel Chaitanya,"Hinjawadi, Pune, India"
Gully's,"Hinjawadi, Pune, India"
Life Point Cafeteria,"Wakad, Pune, India"
Super Bowl,"Baner, Pune, India"
Raavan Biryani,"Baner, Pune, India"
Craving Station,"Wakad, Pune, India"
Hotel Balaji South Indian Restaurant,"Hinjawadi, Pune, India"
Udta Punjab,"Balewadi, Pune, India"
Kannu Ki Chai,"Wakad, Pune, India"
G Sardar G,"Aundh, Pune, India"
Shambhavi- Pure Veg,"Aundh, Pune, India"
Pyaara Di Haveli,"Baner, Pune, India"
Goodluck Snacks,"Aundh, Pune, India"
Uns Biryanis And Kebabs,"Hinjawadi, Pune, India"
Sanket's Barbeque Delight,"Wakad, Pune, India"
Chinar,"Baner, Pune, India"
Cake N Bake,"Wakad, Pune, India"
Hotel Al Madeena,"Wakad, Pune, India"
Shreshta,"Baner, Pune, India"
The Munching Route - Book Cafe,"Baner, Pune, India"
Chocolate Biclate,"Wakad, Pune, India"
Havmor Ice Cream,"Baner, Pune, India"
Hotel Marathwada,"Wakad, Pune, India"
A1 Biryani House,"Hinjawadi, Pune, India"
Pattal,"Wakad, Pune, India"
100Â° Resto Lounge,"Hinjawadi, Pune, India"
HealthyBee,"Baner, Pune, India"
Ice N Fire SkyLounge,"Baner, Pune, India"
The Puneri Fries,"Wakad, Pune, India"
Kobe Sizzlers,"Aundh, Pune, India"
Cafe ON,"Aundh, Pune, India"
The Puneri Breakfast,"Wakad, Pune, India"
Eagle Boys Pizza,"Hinjawadi, Pune, India"
Ambar Family Restaurant,"Aundh, Pune, India"
Golden Dragon Veg Non Veg,"Wakad, Pune, India"
Super Heroes Cafe,"Aundh, Pune, India"
House Of Thali's,"Baner, Pune, India"
Eat-O-Keto,"Baner, Pune, India"
Vandaag - Vivanta Pune,"Hinjawadi, Pune, India"
House Of Thali,"Baner, Pune, India"
Khichdi Flavours,"Wakad, Pune, India"
Darjeeling Momos,"Aundh, Pune, India"
Golden Dragon Chinese And Snack Center,"Pashan, Pune, India"
Joshi Wadewale,"Baner, Pune, India"
Mauli Misal - Naad Nashikcha,"Aundh, Pune, India"
The K Cafe,"Wakad, Pune, India"
Kabila,"Sus, Pune, India"
TQD Instabowl,"Hinjawadi, Pune, India"
TUB - The Unlimited Bar,"Baner, Pune, India"
Khandeshi Darbar,"Baner, Pune, India"
7 Seas Wine n Dine,"Baner, Pune, India"
Delhi Kitchen,"Aundh, Pune, India"
The Chinese Wok,"Hinjawadi, Pune, India"
Creaminal Treats,"Balewadi, Pune, India"
The Food Gym,"Balewadi, Pune, India"
Blue Parrot,"Baner, Pune, India"
New Poona Bakery,"Wakad, Pune, India"
Lassi Ghar,"Wakad, Pune, India"
